word	sentid	corpuspos	markers	list_len	dist_len	wlen	surp	hs	dHs
in	0	0	0	2	0	2	5.961276531219482	5.69603967666626	0.0
the	0	1	0	2	0	3	2.328071117401123	3.7674241065979004	1.9286155700683594
newspaper	0	2	0	2	0	9	11.732227325439453	7.645062446594238	-3.877638339996338
,	0	3	0	2	0	1	2.094024419784546	5.990046501159668	1.6550159454345703
somebody	0	4	0	2	0	8	17.6097469329834	4.908332347869873	1.081714153289795
wrote	0	5	0	2	0	5	7.259890556335449	8.222688674926758	-3.3143563270568848
the	0	6	0	2	0	3	3.3587357997894287	5.6774821281433105	2.5452065467834473
following	0	7	0	2	0	9	7.0223894119262695	8.609556198120117	-2.9320740699768066
words	0	8	0	2	0	5	5.90183162689209	7.4763312339782715	1.1332249641418457
:	0	9	0	2	0	1	2.159449815750122	4.265784740447998	3.2105464935302734
patience	0	10	1	2	0	8	18.618675231933594	2.9776880741119385	1.2880966663360596
,	0	11	1	2	0	1	1.5880359411239624	5.008483409881592	-2.0307953357696533
notion	0	12	1	2	0	6	14.574256896972656	9.471833229064941	-4.46334981918335
,	0	13	1	2	0	1	0.5805314779281616	1.9377853870391846	7.534047842025757
patience	0	14	1	2	0	8	10.125943183898926	6.155457019805908	-4.217671632766724
,	0	15	1	2	0	1	0.35271158814430237	1.3486961126327515	4.806760907173157
notion	0	16	1	2	0	6	15.663908958435059	7.007108211517334	-5.6584120988845825
,	0	17	1	2	0	1	0.6845241189002991	2.028263568878174	4.97884464263916
patience	0	18	1	2	0	8	10.520586967468262	7.378305912017822	-5.350042343139648
,	0	19	1	2	0	1	0.32331016659736633	1.2419488430023193	6.136357069015503
notion	0	20	1	2	0	6	15.302123069763184	7.594046115875244	-6.352097272872925
,	0	21	1	2	0	1	0.5729959607124329	1.8112434148788452	5.782802700996399
patience	0	22	1	2	0	8	10.775071144104004	7.859245300292969	-6.0480018854141235
,	0	23	1	2	0	1	0.3080280125141144	1.1688621044158936	6.690383195877075
notion	0	24	1	2	0	6	15.1189603805542	7.878245830535889	-6.709383726119995
,	0	25	1	2	0	1	0.5128567814826965	1.6890262365341187	6.18921959400177
patience	0	26	1	2	0	8	11.03563117980957	8.0764799118042	-6.387453675270081
,	0	27	1	2	0	1	0.2878812849521637	1.1043497323989868	6.972130179405212
notion	0	28	1	2	0	6	15.033797264099121	8.031229019165039	-6.926879286766052
.	0	29	1	2	0	1	8.661184310913086	1.6211016178131104	6.410127401351929
in	1	0	0	2	0	2	5.961276531219482	5.69603967666626	0.0
the	1	1	0	2	0	3	2.328071117401123	3.7674241065979004	1.9286155700683594
newspaper	1	2	0	2	0	9	11.732227325439453	7.645062446594238	-3.877638339996338
,	1	3	0	2	0	1	2.094024419784546	5.990046501159668	1.6550159454345703
somebody	1	4	0	2	0	8	17.6097469329834	4.908332347869873	1.081714153289795
wrote	1	5	0	2	0	5	7.259890556335449	8.222688674926758	-3.3143563270568848
the	1	6	0	2	0	3	3.3587357997894287	5.6774821281433105	2.5452065467834473
following	1	7	0	2	0	9	7.0223894119262695	8.609556198120117	-2.9320740699768066
words	1	8	0	2	0	5	5.90183162689209	7.4763312339782715	1.1332249641418457
:	1	9	0	2	0	1	2.159449815750122	4.265784740447998	3.2105464935302734
pleasure	1	10	1	2	0	8	18.53236198425293	2.9776880741119385	1.2880966663360596
,	1	11	1	2	0	1	2.444112539291382	6.592833042144775	-3.615144968032837
pattern	1	12	1	2	0	7	14.339459419250488	9.428556442260742	-2.835723400115967
,	1	13	1	2	0	1	0.7396625876426697	2.985614061355591	6.442942380905151
pleasure	1	14	1	2	0	8	10.60815715789795	6.880351543426514	-3.894737482070923
,	1	15	1	2	0	1	0.45680171251296997	1.900266408920288	4.980085134506226
pattern	1	16	1	2	0	7	13.397855758666992	7.057814598083496	-5.157548189163208
,	1	17	1	2	0	1	0.5993248224258423	2.5447640419006348	4.513050556182861
pleasure	1	18	1	2	0	8	10.005378723144531	7.9211578369140625	-5.376393795013428
,	1	19	1	2	0	1	0.42640209197998047	1.8206599950790405	6.100497841835022
pattern	1	20	1	2	0	7	13.294843673706055	7.212574005126953	-5.391914010047913
,	1	21	1	2	0	1	0.6246997714042664	2.598224639892578	4.614349365234375
pleasure	1	22	1	2	0	8	10.045689582824707	7.8889007568359375	-5.290676116943359
,	1	23	1	2	0	1	0.4063781201839447	1.7134476900100708	6.175453066825867
pattern	1	24	1	2	0	7	13.31428337097168	7.22664213180542	-5.513194441795349
,	1	25	1	2	0	1	0.6388410925865173	2.614989757537842	4.611652374267578
pleasure	1	26	1	2	0	8	10.222509384155273	7.720763683319092	-5.10577392578125
,	1	27	1	2	0	1	0.40217480063438416	1.668299913406372	6.05246376991272
pattern	1	28	1	2	0	7	13.445932388305664	7.15068244934082	-5.482382535934448
.	1	29	1	2	0	1	7.679882049560547	2.672666549682617	4.478015899658203
in	2	0	0	2	0	2	5.961276531219482	5.69603967666626	0.0
the	2	1	0	2	0	3	2.328071117401123	3.7674241065979004	1.9286155700683594
newspaper	2	2	0	2	0	9	11.732227325439453	7.645062446594238	-3.877638339996338
,	2	3	0	2	0	1	2.094024419784546	5.990046501159668	1.6550159454345703
somebody	2	4	0	2	0	8	17.6097469329834	4.908332347869873	1.081714153289795
wrote	2	5	0	2	0	5	7.259890556335449	8.222688674926758	-3.3143563270568848
the	2	6	0	2	0	3	3.3587357997894287	5.6774821281433105	2.5452065467834473
following	2	7	0	2	0	9	7.0223894119262695	8.609556198120117	-2.9320740699768066
words	2	8	0	2	0	5	5.90183162689209	7.4763312339782715	1.1332249641418457
:	2	9	0	2	0	1	2.159449815750122	4.265784740447998	3.2105464935302734
paper	2	10	1	2	0	5	16.338468551635742	2.9776880741119385	1.2880966663360596
,	2	11	1	2	0	1	3.1213762760162354	7.592765808105469	-4.61507773399353
belief	2	12	1	2	0	6	15.187215805053711	9.477272033691406	-1.8845062255859375
,	2	13	1	2	0	1	0.539282500743866	2.2138450145721436	7.263427019119263
paper	2	14	1	2	0	5	13.532027244567871	6.588175296783447	-4.374330282211304
,	2	15	1	2	0	1	0.5991812348365784	2.2937943935394287	4.2943809032440186
belief	2	16	1	2	0	6	16.35306739807129	7.165961265563965	-4.872166872024536
,	2	17	1	2	0	1	0.459076851606369	1.9102661609649658	5.255695104598999
paper	2	18	1	2	0	5	13.647332191467285	6.661519527435303	-4.751253366470337
,	2	19	1	2	0	1	0.5885131359100342	2.1230006217956543	4.538518905639648
belief	2	20	1	2	0	6	16.32366371154785	7.252858638763428	-5.129858016967773
,	2	21	1	2	0	1	0.39284709095954895	1.6889194250106812	5.563939213752747
paper	2	22	1	2	0	5	13.934978485107422	6.837248802185059	-5.148329377174377
,	2	23	1	2	0	1	0.5787777304649353	2.0706708431243896	4.766577959060669
