,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,1,repeat
2, the,0,2,2.472673177719116,False,1,1,3,1,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,1,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,1,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,1,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,1,repeat
7, down,0,7,4.496498107910156,False,1,1,3,1,repeat
8, the,0,8,1.237207055091858,False,1,1,3,1,repeat
9, following,0,9,4.111498832702637,False,1,1,3,1,repeat
10, list,0,10,4.367360591888428,False,1,1,3,1,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,1,repeat
12, words,0,12,5.889763355255127,False,1,1,3,1,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,1,repeat
14, window,1,0,12.72612190246582,False,1,1,3,1,repeat
15,",",1,1,1.0239609479904175,True,1,1,3,1,repeat
16, door,1,2,3.5542044639587402,False,1,1,3,1,repeat
17,",",1,3,0.1567920744419098,True,1,1,3,1,repeat
18, roof,1,4,5.674071311950684,False,1,1,3,1,repeat
19,.,1,5,2.9185261726379395,True,1,1,3,1,repeat
20,There,2,0,11.060147285461426,False,1,1,3,1,repeat
21, is,2,1,2.391629695892334,False,1,1,3,1,repeat
22, a,2,2,1.5881949663162231,False,1,1,3,1,repeat
23, voice,2,3,8.663782119750977,False,1,1,3,1,repeat
24, in,2,4,1.2197333574295044,False,1,1,3,1,repeat
25, the,2,5,1.3831511735916138,False,1,1,3,1,repeat
26, waters,2,6,9.897080421447754,False,1,1,3,1,repeat
27, of,2,7,2.470625638961792,False,1,1,3,1,repeat
28, the,2,8,1.0957322120666504,False,1,1,3,1,repeat
29, great,2,9,6.458980560302734,False,1,1,3,1,repeat
30, sea,2,10,2.8742125034332275,False,1,1,3,1,repeat
31,.,2,11,1.703774094581604,True,1,1,3,1,repeat
32, It,2,12,2.5542550086975098,False,1,1,3,1,repeat
33, calls,2,13,3.313325881958008,False,1,1,3,1,repeat
34, to,2,14,2.292790651321411,False,1,1,3,1,repeat
35, man,2,15,7.327645778656006,False,1,1,3,1,repeat
36, continually,2,16,9.761226654052734,False,1,1,3,1,repeat
37,.,2,17,2.0346620082855225,True,1,1,3,1,repeat
38, When,2,18,4.246196269989014,False,1,1,3,1,repeat
39, she,2,19,6.0083208084106445,False,1,1,3,1,repeat
40, got,2,20,6.739355564117432,False,1,1,3,1,repeat
41, back,2,21,3.369244337081909,False,1,1,3,1,repeat
42,",",2,22,1.715566873550415,True,1,1,3,1,repeat
43, she,2,23,1.1046481132507324,False,1,1,3,1,repeat
44, read,2,24,4.909948348999023,False,1,1,3,1,repeat
45, the,2,25,1.5327860116958618,False,1,1,3,1,repeat
46, list,2,26,3.0315330028533936,False,1,1,3,1,repeat
47, again,2,27,3.1945858001708984,False,1,1,3,1,repeat
48,:,2,28,2.2964630126953125,True,1,1,3,1,repeat
49, window,3,0,2.158607006072998,False,1,1,3,1,repeat
50,",",3,1,0.06193758547306061,True,1,1,3,1,repeat
51, door,3,2,0.15606732666492462,False,1,1,3,1,repeat
52,",",3,3,0.06849748641252518,True,1,1,3,1,repeat
53, roof,3,4,0.2833591401576996,False,1,1,3,1,repeat
54,.,3,5,0.31894129514694214,True,1,1,3,1,repeat
55, ,3,6,8.460947036743164,False,1,1,3,1,repeat
56,<|endoftext|>,3,7,8.579801559448242,False,1,1,3,1,repeat
0,<|endoftext|>,0,0,nan,False,1,1,3,2,repeat
1, Before,0,1,12.528436660766602,False,1,1,3,2,repeat
2, the,0,2,2.472673177719116,False,1,1,3,2,repeat
3, meeting,0,3,6.759090423583984,False,1,1,3,2,repeat
4,",",0,4,0.9914438128471375,True,1,1,3,2,repeat
5, Mary,0,5,8.550331115722656,False,1,1,3,2,repeat
6, wrote,0,6,6.019670009613037,False,1,1,3,2,repeat
7, down,0,7,4.496498107910156,False,1,1,3,2,repeat
8, the,0,8,1.237207055091858,False,1,1,3,2,repeat
9, following,0,9,4.111498832702637,False,1,1,3,2,repeat
10, list,0,10,4.367360591888428,False,1,1,3,2,repeat
11, of,0,11,0.1937805414199829,False,1,1,3,2,repeat
12, words,0,12,5.889763355255127,False,1,1,3,2,repeat
13,:,0,13,1.3915445804595947,True,1,1,3,2,repeat
14, leg,1,0,12.512502670288086,False,1,1,3,2,repeat
15,",",1,1,1.8341835737228394,True,1,1,3,2,repeat
16, arms,1,2,6.776754379272461,False,1,1,3,2,repeat
17,",",1,3,0.10339901596307755,True,1,1,3,2,repeat
18, head,1,4,4.0295867919921875,False,1,1,3,2,repeat
19,.,1,5,3.6186184883117676,True,1,1,3,2,repeat
20,There,2,0,11.13798713684082,False,1,1,3,2,repeat
21, is,2,1,2.249302864074707,False,1,1,3,2,repeat
22, a,2,2,1.692737102508545,False,1,1,3,2,repeat
23, voice,2,3,8.577607154846191,False,1,1,3,2,repeat
24, in,2,4,1.2252227067947388,False,1,1,3,2,repeat
25, the,2,5,1.5937464237213135,False,1,1,3,2,repeat
26, waters,2,6,8.927160263061523,False,1,1,3,2,repeat
27, of,2,7,2.46707820892334,False,1,1,3,2,repeat
28, the,2,8,1.1709966659545898,False,1,1,3,2,repeat
29, great,2,9,6.342315673828125,False,1,1,3,2,repeat
30, sea,2,10,2.207404136657715,False,1,1,3,2,repeat
31,.,2,11,1.8687235116958618,True,1,1,3,2,repeat
32, It,2,12,2.5142436027526855,False,1,1,3,2,repeat
33, calls,2,13,3.4656825065612793,False,1,1,3,2,repeat
34, to,2,14,2.481934070587158,False,1,1,3,2,repeat
35, man,2,15,6.968029022216797,False,1,1,3,2,repeat
36, continually,2,16,9.645785331726074,False,1,1,3,2,repeat
37,.,2,17,2.124842643737793,True,1,1,3,2,repeat
38, When,2,18,4.238942623138428,False,1,1,3,2,repeat
39, she,2,19,6.261445045471191,False,1,1,3,2,repeat
40, got,2,20,7.086560249328613,False,1,1,3,2,repeat
41, back,2,21,3.4125211238861084,False,1,1,3,2,repeat
