,token,trialID,positionID,subtok,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,1,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,1,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,1,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,1,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,1,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,1,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,1,control
7, down,0,7,7,4.496373653411865,False,1,1,3,1,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,1,control
9, following,0,9,9,4.111538410186768,False,1,1,3,1,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,1,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,1,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,1,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,1,control
14, One,0,14,13,4.730581283569336,False,1,1,3,1,control
15, was,0,15,14,1.810640811920166,False,1,1,3,1,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,1,control
17, window,1,0,1,12.287196159362793,False,1,1,3,1,control
18,",",1,1,-1,1.2555721998214722,True,1,1,3,1,control
19, door,1,2,2,2.9531636238098145,False,1,1,3,1,control
20,",",1,3,-1,0.18340660631656647,True,1,1,3,1,control
21, roof,1,4,3,5.551798343658447,False,1,1,3,1,control
22,.,1,5,-1,2.315265655517578,True,1,1,3,1,control
23, And,2,0,1,4.307784557342529,False,1,1,3,1,control
24, the,2,1,2,2.1413800716400146,False,1,1,3,1,control
25, other,2,2,3,1.1620426177978516,False,1,1,3,1,control
26,:,2,3,-1,2.638249158859253,True,1,1,3,1,control
27, cotton,3,0,1,9.985957145690918,False,1,1,3,1,control
28,",",3,1,-1,1.2867381572723389,True,1,1,3,1,control
29, wool,3,2,2,2.909817695617676,False,1,1,3,1,control
30,",",3,3,-1,0.16710840165615082,True,1,1,3,1,control
31, silk,3,4,3,3.1382298469543457,False,1,1,3,1,control
32,.,3,5,-1,1.7719142436981201,True,1,1,3,1,control
33,<|endoftext|>,3,6,-2,5.432506561279297,False,1,1,3,1,control
0,<|endoftext|>,0,0,-2,nan,False,1,1,3,2,control
1, Before,0,1,2,12.528407096862793,False,1,1,3,2,control
2, the,0,2,3,2.4726693630218506,False,1,1,3,2,control
3, meeting,0,3,4,6.759095191955566,False,1,1,3,2,control
4,",",0,4,-1,0.9914171695709229,True,1,1,3,2,control
5, Mary,0,5,5,8.550304412841797,False,1,1,3,2,control
6, wrote,0,6,6,6.019630432128906,False,1,1,3,2,control
7, down,0,7,7,4.496373653411865,False,1,1,3,2,control
8, the,0,8,8,1.2372602224349976,False,1,1,3,2,control
9, following,0,9,9,4.111538410186768,False,1,1,3,2,control
10, lists,0,10,10,7.842437267303467,False,1,1,3,2,control
11, of,0,11,11,0.49632617831230164,False,1,1,3,2,control
12, words,0,12,12,6.3023152351379395,False,1,1,3,2,control
13,.,0,13,-1,2.9900951385498047,True,1,1,3,2,control
14, One,0,14,13,4.730581283569336,False,1,1,3,2,control
15, was,0,15,14,1.810640811920166,False,1,1,3,2,control
16,:,0,16,-1,3.6773507595062256,True,1,1,3,2,control
17, leg,1,0,1,12.12979793548584,False,1,1,3,2,control
18,",",1,1,-1,1.8050692081451416,True,1,1,3,2,control
19, arms,1,2,2,6.242254257202148,False,1,1,3,2,control
