,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,permute
1, the,0,1,2.551027297973633,False,1,1,3,1,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,1,permute
3,",",0,3,0.6362646222114563,True,1,1,3,1,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,1,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,1,permute
6, down,0,6,4.396554946899414,False,1,1,3,1,permute
7, the,0,7,1.3433159589767456,False,1,1,3,1,permute
8, following,0,8,4.053033351898193,False,1,1,3,1,permute
9, list,0,9,4.172577381134033,False,1,1,3,1,permute
10, of,0,10,0.18576112389564514,False,1,1,3,1,permute
11, words,0,11,6.043724060058594,False,1,1,3,1,permute
12,:,0,12,1.203829288482666,True,1,1,3,1,permute
13, apple,1,0,11.891356468200684,False,1,1,3,1,permute
14,",",1,1,0.8718227744102478,True,1,1,3,1,permute
15, spirit,1,2,8.66170883178711,False,1,1,3,1,permute
16,",",1,3,0.290663480758667,True,1,1,3,1,permute
17, music,1,4,6.879713535308838,False,1,1,3,1,permute
18,.,1,5,3.303957462310791,True,1,1,3,1,permute
19,There,2,0,10.787052154541016,False,1,1,3,1,permute
20, is,2,1,2.362208366394043,False,1,1,3,1,permute
21, a,2,2,1.6960374116897583,False,1,1,3,1,permute
22, voice,2,3,7.767238616943359,False,1,1,3,1,permute
23, in,2,4,1.2912931442260742,False,1,1,3,1,permute
24, the,2,5,1.3850088119506836,False,1,1,3,1,permute
25, waters,2,6,8.069530487060547,False,1,1,3,1,permute
26, of,2,7,2.201361656188965,False,1,1,3,1,permute
27, the,2,8,1.13491690158844,False,1,1,3,1,permute
28, great,2,9,6.753710746765137,False,1,1,3,1,permute
29, sea,2,10,2.4456381797790527,False,1,1,3,1,permute
30,.,2,11,1.7358211278915405,True,1,1,3,1,permute
31, It,2,12,2.404839277267456,False,1,1,3,1,permute
32, calls,2,13,3.488689422607422,False,1,1,3,1,permute
33, to,2,14,2.51511812210083,False,1,1,3,1,permute
34, man,2,15,7.097894668579102,False,1,1,3,1,permute
35, continually,2,16,9.439483642578125,False,1,1,3,1,permute
36,.,2,17,2.0299434661865234,True,1,1,3,1,permute
37, When,2,18,4.340877056121826,False,1,1,3,1,permute
38, she,2,19,6.1667256355285645,False,1,1,3,1,permute
39, got,2,20,7.381043434143066,False,1,1,3,1,permute
40, back,2,21,3.441831588745117,False,1,1,3,1,permute
41,",",2,22,1.7191171646118164,True,1,1,3,1,permute
42, she,2,23,1.0111209154129028,False,1,1,3,1,permute
43, read,2,24,4.753692626953125,False,1,1,3,1,permute
44, the,2,25,1.5788893699645996,False,1,1,3,1,permute
45, list,2,26,3.048196792602539,False,1,1,3,1,permute
46, again,2,27,2.982595920562744,False,1,1,3,1,permute
47,:,2,28,2.5668632984161377,True,1,1,3,1,permute
48, music,3,0,5.696043014526367,False,1,1,3,1,permute
49,",",3,1,0.25688377022743225,True,1,1,3,1,permute
50, apple,3,2,4.427270889282227,False,1,1,3,1,permute
51,",",3,3,0.16389557719230652,True,1,1,3,1,permute
52, spirit,3,4,0.43340373039245605,False,1,1,3,1,permute
53,.,3,5,1.890478491783142,True,1,1,3,1,permute
0,Before,0,0,nan,False,1,1,3,2,permute
1, the,0,1,2.551027297973633,False,1,1,3,2,permute
2, meeting,0,2,5.753713607788086,False,1,1,3,2,permute
3,",",0,3,0.6362646222114563,True,1,1,3,2,permute
4, Mary,0,4,8.620794296264648,False,1,1,3,2,permute
5, wrote,0,5,6.034746170043945,False,1,1,3,2,permute
6, down,0,6,4.396554946899414,False,1,1,3,2,permute
7, the,0,7,1.3433159589767456,False,1,1,3,2,permute
8, following,0,8,4.053033351898193,False,1,1,3,2,permute
9, list,0,9,4.172577381134033,False,1,1,3,2,permute
10, of,0,10,0.18576112389564514,False,1,1,3,2,permute
11, words,0,11,6.043724060058594,False,1,1,3,2,permute
12,:,0,12,1.203829288482666,True,1,1,3,2,permute
13, forest,1,0,13.109850883483887,False,1,1,3,2,permute
14,",",1,1,0.6187539100646973,True,1,1,3,2,permute
15, ste,1,2,7.720037460327148,False,1,1,3,2,permute
16,amer,1,3,3.8406784534454346,False,1,1,3,2,permute
17,",",1,4,0.08285864442586899,True,1,1,3,2,permute
18, mixture,1,5,11.826083183288574,False,1,1,3,2,permute
19,.,1,6,4.823881149291992,True,1,1,3,2,permute
20,There,2,0,11.336179733276367,False,1,1,3,2,permute
21, is,2,1,2.2033824920654297,False,1,1,3,2,permute
22, a,2,2,1.7055912017822266,False,1,1,3,2,permute
23, voice,2,3,8.480339050292969,False,1,1,3,2,permute
24, in,2,4,1.2212669849395752,False,1,1,3,2,permute
25, the,2,5,1.4071372747421265,False,1,1,3,2,permute
26, waters,2,6,7.303739070892334,False,1,1,3,2,permute
27, of,2,7,2.531647205352783,False,1,1,3,2,permute
28, the,2,8,1.1125749349594116,False,1,1,3,2,permute
29, great,2,9,6.507322311401367,False,1,1,3,2,permute
