,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,Before,0,0,nan,False,1,1,3,1,control
1, the,0,1,2.551027297973633,False,1,1,3,1,control
2, meeting,0,2,5.753713607788086,False,1,1,3,1,control
3,",",0,3,0.6362646222114563,True,1,1,3,1,control
4, Mary,0,4,8.620794296264648,False,1,1,3,1,control
5, wrote,0,5,6.034746170043945,False,1,1,3,1,control
6, down,0,6,4.396554946899414,False,1,1,3,1,control
7, the,0,7,1.3433159589767456,False,1,1,3,1,control
8, following,0,8,4.053033351898193,False,1,1,3,1,control
9, list,0,9,4.172577381134033,False,1,1,3,1,control
10, of,0,10,0.18576112389564514,False,1,1,3,1,control
11, words,0,11,6.043724060058594,False,1,1,3,1,control
12,:,0,12,1.203829288482666,True,1,1,3,1,control
13, window,1,0,13.060759544372559,False,1,1,3,1,control
14,",",1,1,1.051327109336853,True,1,1,3,1,control
15, door,1,2,3.611264705657959,False,1,1,3,1,control
16,",",1,3,0.1557670384645462,True,1,1,3,1,control
17, roof,1,4,5.822896957397461,False,1,1,3,1,control
18,.,1,5,3.0585453510284424,True,1,1,3,1,control
19,There,2,0,11.197334289550781,False,1,1,3,1,control
20, is,2,1,2.434901237487793,False,1,1,3,1,control
21, a,2,2,1.6553230285644531,False,1,1,3,1,control
22, voice,2,3,8.392946243286133,False,1,1,3,1,control
23, in,2,4,1.3195629119873047,False,1,1,3,1,control
24, the,2,5,1.1668756008148193,False,1,1,3,1,control
25, waters,2,6,10.099138259887695,False,1,1,3,1,control
26, of,2,7,2.5850508213043213,False,1,1,3,1,control
27, the,2,8,1.0125210285186768,False,1,1,3,1,control
28, great,2,9,6.5684814453125,False,1,1,3,1,control
29, sea,2,10,2.923970937728882,False,1,1,3,1,control
30,.,2,11,1.8020384311676025,True,1,1,3,1,control
31, It,2,12,2.555670738220215,False,1,1,3,1,control
32, calls,2,13,3.3002400398254395,False,1,1,3,1,control
