,token,trialID,positionID,surp,ispunct,prefix,prompt,list_len,stimID,second_list
0,<|endoftext|>,0,0,nan,False,1,1,3,1,permute
1, Before,0,1,12.528436660766602,False,1,1,3,1,permute
2, the,0,2,2.472673177719116,False,1,1,3,1,permute
3, meeting,0,3,6.759090423583984,False,1,1,3,1,permute
4,",",0,4,0.9914438128471375,True,1,1,3,1,permute
5, Mary,0,5,8.550331115722656,False,1,1,3,1,permute
6, wrote,0,6,6.019670009613037,False,1,1,3,1,permute
7, down,0,7,4.496498107910156,False,1,1,3,1,permute
8, the,0,8,1.237207055091858,False,1,1,3,1,permute
9, following,0,9,4.111498832702637,False,1,1,3,1,permute
10, list,0,10,4.367360591888428,False,1,1,3,1,permute
11, of,0,11,0.1937805414199829,False,1,1,3,1,permute
12, words,0,12,5.889763355255127,False,1,1,3,1,permute
13,:,0,13,1.3915445804595947,True,1,1,3,1,permute
14, apple,1,0,11.403657913208008,False,1,1,3,1,permute
15,",",1,1,0.9844114780426025,True,1,1,3,1,permute
16, spirit,1,2,8.773529052734375,False,1,1,3,1,permute
17,",",1,3,0.3046078085899353,True,1,1,3,1,permute
18, music,1,4,6.850928783416748,False,1,1,3,1,permute
19,.,1,5,3.346791982650757,True,1,1,3,1,permute
20,After,2,0,10.170475006103516,False,1,1,3,1,permute
21, the,2,1,1.0387425422668457,False,1,1,3,1,permute
22, meeting,2,2,0.10432726889848709,False,1,1,3,1,permute
23,",",2,3,0.12629155814647675,True,1,1,3,1,permute
24, she,2,4,2.3124449253082275,False,1,1,3,1,permute
25, took,2,5,3.76347279548645,False,1,1,3,1,permute
26, a,2,6,1.4244004487991333,False,1,1,3,1,permute
27, break,2,7,2.814760208129883,False,1,1,3,1,permute
28, and,2,8,1.7992839813232422,False,1,1,3,1,permute
29, had,2,9,4.978139877319336,False,1,1,3,1,permute
30, a,2,10,0.7723501920700073,False,1,1,3,1,permute
31, cup,2,11,2.8281595706939697,False,1,1,3,1,permute
32, of,2,12,0.012360752560198307,False,1,1,3,1,permute
33, coffee,2,13,0.7534105777740479,False,1,1,3,1,permute
34,.,2,14,0.7367588877677917,True,1,1,3,1,permute
